JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2400188.0,8.0,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400190.0,8.2,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400193.0,8.3,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400195.0,8.3,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400202.0,8.4,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400204.0,8.4,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400210.0,8.5,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400212.0,8.5,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400215.0,8.5,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400220.0,8.6,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400224.0,8.5,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400228.0,8.7,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400229.0,8.9,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400231.0,9.2,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400232.0,9.2,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400234.0,9.3,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400236.0,9.3,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400238.0,9.5,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400243.0,9.7,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400244.0,9.6,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400246.0,9.7,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400251.0,9.8,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400256.0,10.0,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400258.0,10.1,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400260.0,10.2,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400263.0,10.3,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400276.0,10.6,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2402240.4540,8.30,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402240.4540,8.10,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402244.2440,8.00,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402244.2540,8.30,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402256.0,9.00,,,Vis.,PNO,,NA,,NA,1908MEMRAS-58-3.  MAG. CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,R AND,AAVSO,STD,,x_1908MmRASv58p3,PKV,
2402260.3240,8.70,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402278.3240,9.30,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402492.3840,12.60,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402523.3340,11.10,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402526.3440,11.10,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402551.0,9.20,,,Vis.,PNO,,NA,,NA,1908MEMRAS-58-3.  MAG. CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,R AND,AAVSO,STD,,x_1908MmRASv58p3,PKV,
2402553.2740,8.80,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402554.3040,8.70,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402560.2540,8.00,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402560.2640,7.95,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402564.4040,7.80,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402584.2740,6.15,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402585.0,6.30,,,Vis.,PNO,,NA,,NA,1908MEMRAS-58-3.  MAG. CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,R AND,AAVSO,STD,,x_1908MmRASv58p3,PKV,
2402586.2340,6.20,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402593.2440,6.10,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402594.2240,6.10,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402606.2640,6.15,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402614.2640,6.20,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402620.2740,6.50,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402621.3440,6.60,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402623.2740,6.50,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402625.3840,6.60,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402626.2540,6.60,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402628.3440,6.60,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402630.2540,6.70,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402632.3040,6.60,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402636.0,7.60,,,Vis.,PNO,,NA,,NA,1908MEMRAS-58-3.  MAG. CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,R AND,AAVSO,STD,,x_1908MmRASv58p3,PKV,
2402641.3240,7.15,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402645.2840,7.40,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402647.2840,7.40,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402660.2740,8.00,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402675.3040,9.00,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402679.3340,9.10,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402867.0,<12.60,,,Vis.,PNO,,NA,,NA,1908MEMRAS-58-3.  MAG. CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,R AND,AAVSO,STD,,x_1908MmRASv58p3,PKV,
2402878.3240,12.60,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402913.0,12.50,,,Vis.,PNO,,NA,,NA,1908MEMRAS-58-3.  MAG. CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,R AND,AAVSO,STD,,x_1908MmRASv58p3,PKV,
2402915.0,12.50,,,Vis.,PNO,,NA,,NA,1908MEMRAS-58-3.  MAG. CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,R AND,AAVSO,STD,,x_1908MmRASv58p3,PKV,
2402932.0,11.70,,,Vis.,PNO,,NA,,NA,1908MEMRAS-58-3.  MAG. CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,R AND,AAVSO,STD,,x_1908MmRASv58p3,PKV,
2402935.2840,12.20,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402945.0,11.00,,,Vis.,PNO,,NA,,NA,1908MEMRAS-58-3.  MAG. CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,R AND,AAVSO,STD,,x_1908MmRASv58p3,PKV,
2402967.2740,9.30,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402967.2940,9.40,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402972.4240,9.20,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402977.4340,9.10,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402987.2740,8.90,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402989.2440,8.80,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402996.2940,8.95,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402999.2640,8.95,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2403001.2740,9.00,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2403004.2640,9.00,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2403005.2640,9.00,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2403007.3040,9.05,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2403012.2940,9.05,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2403030.3140,8.80,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2403033.2840,8.90,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2403039.2940,8.90,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2403049.3240,9.05,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2403054.3240,9.10,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2403054.3240,9.00,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2403069.6040,9.20,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2403095.5440,10.50,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2403095.5740,10.40,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2403372.2740,7.20,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,R AND,AAVSO,STD,,2009BCrAO.105...78B,PKV,
